Hugo_Symbol	Chromosome
SSX1	chrX
SSX3	chrX
SSX7	chrX
ST13	chr22
ST14	chr11
ST6GALNAC2	chr17
ST6GALNAC3	chr1
ST6GALNAC5	chr1
ST7L	chr1
ST8SIA5	chr18
ST8SIA6	chr10
STAG2	chrX
STAMBPL1	chr10
STARD10	chr11
STARD3NL	chr7
STARD5	chr15
STAT5B	chr17
STC1	chr8
STEAP1	chr7
STK10	chr5
STK17B	chr2
STK24	chr13
STK33	chr11
STK38	chr6
STK38L	chr12
STK39	chr2
STMN3	chr20
STOM	chr9
STOX1	chr10
STRA8	chr7
STRIP1	chr1
STRIP2	chr7
STRN3	chr14
STT3B	chr3
STX2	chr12
STX3	chr11
STXBP1	chr9
STYX	chr14
SUCLA2	chr13
SUCLG2	chr3
SUGT1	chr13
SULT1B1	chr4
SULT1C2	chr2
SULT1C4	chr2
SUMF1	chr3
SUN2	chr22
SUPT20H	chr13
SUPT5H	chr19
SUPT7L	chr2
SURF2	chr9
SURF4	chr9
SWT1	chr1
SYCN	chr19
SYCP2L	chr6
SYCP3	chr12
SYDE1	chr19
SYF2	chr1
SYN1	chrX
SYNC	chr1
SYNGR2	chr17
SYNPR	chr3
SYT15	chr10
SYT2	chr1
SYTL4	chrX
SYVN1	chr11
T	chr6
TAAR2	chr6
TAAR5	chr6
TAAR6	chr6
TAB3	chrX
TACR1	chr2
TADA2A	chr17
TAF4	chr20
TAF6L	chr11
TAF9B	chrX
TAGLN3	chr3
TAL1	chr1
TAL2	chr9
TANK	chr2
TAOK3	chr12
TAPBPL	chr12
TARBP2	chr12
TARS2	chr1
TAS2R13	chr12
TAS2R3	chr7
TAS2R4	chr7
TAS2R40	chr7
TAS2R41	chr7
TAS2R42	chr12
TAS2R5	chr7
TAS2R50	chr12
TAS2R7	chr12
TAS2R9	chr12
TATDN3	chr1
TAZ	chrX
TBATA	chr10
TBC1D10C	chr11
TBC1D14	chr4
TBC1D15	chr12
TBC1D21	chr15
TBC1D22A	chr22
TBC1D28	chr17
TBC1D31	chr8
TBC1D3C	chr17
TBC1D3F	chr17
TBC1D7	chr6
TBC1D8B	chrX
TBCB	chr19
TBCC	chr6
TBCE	chr1
TBL1X	chrX
TBL2	chr7
TBX19	chr1
TBX20	chr7
TBX21	chr17
TBX22	chrX
TBX4	chr17
TBXAS1	chr7
TCEA1	chr8
TCEA3	chr1
TCEAL1	chrX
TCEAL2	chrX
TCEAL5	chrX
TCEAL6	chrX
TCEB3	chr1
TCF21	chr6
TCF24	chr8
TCF25	chr16
TCF7L1	chr2
TCF7L2	chr10
TCFL5	chr20
TCIRG1	chr11
TCL1A	chr14
TCL1B	chr14
TCOF1	chr5
TCP10	chr6
TCTEX1D4	chr1
TCTN2	chr12
TDGF1	chr3
TDO2	chr4
TDP1	chr14
TDRD10	chr1
TDRD3	chr13
TDRP	chr8
TEAD2	chr19
TEAD3	chr6
TEAD4	chr12
TEC	chr4
TECR	chr19
TECTB	chr10
TEF	chr22
TEKT1	chr17
TEKT2	chr1
TELO2	chr16
TEN1	chr17
TESC	chr12
TEX26	chr13
TEX29	chr13
TEX37	chr2
TFB2M	chr1
TFCP2	chr12
TFDP1	chr13
TFDP2	chr3
TFEB	chr6
TFEC	chr7
TFF3	chr21
TFG	chr3
TFPI	chr2
TFRC	chr3
TGDS	chr13
TGFB1I1	chr16
TGIF2-C20orf24	chr20
TGIF2LX	chrX
TGM2	chr20
TGM4	chr3
TGM7	chr15
TH	chr11
THAP10	chr15
THAP4	chr2
THBS4	chr5
THEG	chr19
THEM4	chr1
THEMIS2	chr1
THNSL1	chr10
THNSL2	chr2
THPO	chr3
THRA	chr17
THRB	chr3
THRSP	chr11
THUMPD1	chr16
THUMPD3	chr3
TIFA	chr4
TIGD1	chr2
TIGD2	chr4
TIGD3	chr11
TIGD6	chr5
TIMM44	chr19
TIMM50	chr19
TIMP2	chr17
TIMP3	chr22
TIPARP	chr3
TIPIN	chr15
TIRAP	chr11
TJP3	chr19
TLDC2	chr20
TLE3	chr15
TLE6	chr19
TLL2	chr10
TLX1	chr10
TLX3	chr5
TM2D2	chr8
TM2D3	chr15
TM4SF20	chr2
TM6SF1	chr15
TM6SF2	chr19
TM7SF3	chr12
TM9SF2	chr13
TMC5	chr16
TMCC1	chr3
TMCO2	chr1
TMCO3	chr13
TMCO6	chr5
TMED5	chr1
TMED6	chr16
TMEM106A	chr17
TMEM106B	chr7
TMEM106C	chr12
TMEM123	chr11
TMEM125	chr1
TMEM126B	chr11
TMEM127	chr2
TMEM129	chr4
TMEM139	chr7
TMEM144	chr4
TMEM14A	chr6
TMEM14C	chr6
TMEM150A	chr2
TMEM160	chr19
TMEM161A	chr19
TMEM164	chrX
TMEM168	chr7
TMEM175	chr4
TMEM176B	chr7
TMEM177	chr2
TMEM178A	chr2
TMEM179B	chr11
TMEM182	chr2
TMEM183A	chr1
TMEM184A	chr7
TMEM184B	chr22
TMEM185A	chrX
TMEM185B	chr2
TMEM190	chr19
TMEM2	chr9
TMEM200C	chr18
TMEM205	chr19
TMEM209	chr7
TMEM214	chr2
TMEM222	chr1
TMEM225	chr11
TMEM229A	chr7
TMEM230	chr20
TMEM239	chr20
TMEM244	chr6
TMEM247	chr2
TMEM249	chr8
TMEM25	chr11
TMEM251	chr14
TMEM252	chr9
TMEM256-PLSCR3	chr17
TMEM257	chrX
TMEM26	chr10
TMEM39A	chr3
TMEM40	chr3
TMEM41A	chr3
TMEM45A	chr3
TMEM5	chr12
TMEM50A	chr1
TMEM52B	chr12
TMEM53	chr1
TMEM55B	chr14
TMEM56	chr1
TMEM59	chr1
TMEM59L	chr19
TMEM62	chr15
TMEM63B	chr6
TMEM68	chr8
TMEM71	chr8
TMEM72	chr10
TMEM75	chr8
TMEM80	chr11
TMEM86B	chr19
TMEM87A	chr15
TMEM88B	chr1
TMEM8A	chr16
TMEM8C	chr9
TMEM92	chr17
TMEM99	chr17
TMEM9B	chr11
TMF1	chr3
TMPRSS11A	chr4
TMPRSS11B	chr4
TMPRSS11F	chr4
TMPRSS13	chr11
TMPRSS5	chr11
TMSB15B	chrX
TMTC4	chr13
TMX3	chr18
TNFAIP3	chr6
TNFAIP6	chr2
TNFAIP8	chr5
TNFAIP8L1	chr19
TNFAIP8L2	chr1
TNFRSF10C	chr8
TNFRSF10D	chr8
TNFRSF11A	chr18
TNFRSF14	chr1
TNFRSF17	chr16
TNFRSF19	chr13
TNFRSF4	chr1
TNFRSF8	chr1
TNFSF10	chr3
TNFSF12-TNFSF13	chr17
TNFSF14	chr19
TNFSF18	chr1
TNMD	chrX
TNNI1	chr1
TNNI2	chr11
TNNT2	chr1
TNRC6A	chr16
TOLLIP	chr11
TOM1L2	chr17
TOMM20L	chr14
TOMM40L	chr1
TOMM5	chr9
TOR4A	chr9
TP53AIP1	chr11
TPCN2	chr11
TPD52L1	chr6
TPD52L2	chr20
TPGS1	chr19
TPGS2	chr18
TPM2	chr9
TPM4	chr19
TPP1	chr11
TPPP	chr5
TPPP2	chr14
TPRA1	chr3
TPRKB	chr2
TPRX2P	chr19
TPT1	chr13
TPTE2	chr13
TRABD	chr22
TRAF3IP3	chr1
TRAF4	chr17
TRAF7	chr16
TRAFD1	chr12
TRAM1	chr8
TRAM2	chr6
TRAPPC13	chr5
TRAT1	chr3
TRDMT1	chr10
TREM2	chr6
TREML1	chr6
TRH	chr3
TRIB1	chr8
TRIB3	chr20
TRIM11	chr1
TRIM13	chr13
TRIM15	chr6
TRIM17	chr1
TRIM21	chr11
TRIM29	chr11
TRIM33	chr1
TRIM43	chr2
TRIM44	chr11
TRIM48	chr11
TRIM54	chr2
TRIM60	chr4
TRIM68	chr11
TRIM7	chr5
TRIM73	chr7
TRIM9	chr14
TRIP6	chr7
TRIQK	chr8
TRIT1	chr1
TRMT11	chr6
TRMT12	chr8
TRMT1L	chr1
TRMT2A	chr22
TRMT2B	chrX
TRMT6	chr20
TRMT61B	chr2
TRMU	chr22
TRNT1	chr3
TRO	chrX
TRPC4AP	chr20
TRPC6	chr11
TRPM5	chr11
TRUB1	chr10
TSC22D1	chr13
TSG101	chr11
TSPAN1	chr1
TSPAN11	chr12
TSPAN13	chr7
TSPAN14	chr10
TSPAN16	chr19
TSPAN7	chrX
TSPO	chr22
TSPYL2	chrX
TSRM	chr7
TSSK1B	chr5
TSSK3	chr1
TTBK2	chr15
TTC1	chr5
TTC13	chr1
TTC22	chr1
TTC23	chr15
TTC26	chr7
TTC29	chr4
TTC30A	chr2
TTC30B	chr2
TTC31	chr2
TTC33	chr5
TTC36	chr11
TTC4	chr1
TTC5	chr14
TTC8	chr14
TTC9B	chr19
TTC9C	chr11
TTF1	chr9
TTI2	chr8
TTLL10	chr1
TTLL3	chr3
TTLL9	chr20
TTPA	chr8
TUB	chr11
TUBA3C	chr13
TUBA3E	chr2
TUBA4A	chr2
TUBA8	chr22
TUBB1	chr20
TUFT1	chr1
TUSC1	chr9
TWSG1	chr18
TXK	chr4
TXLNB	chr6
TXNDC17	chr17
TXNDC5	chr6
TXNDC8	chr9
TXNL1	chr18
TXNL4B	chr16
TYW3	chr1
U2AF1	chr21
UAP1	chr1
UBAP1L	chr15
UBAP2	chr9
UBB	chr17
UBC	chr12
UBE2A	chrX
UBE2D1	chr10
UBE2D3	chr4
UBE2E3	chr2
UBE2F-SCLY	chr2
UBE2L3	chr22
UBE2L6	chr11
UBE2M	chr19
UBE2Q2	chr15
UBE2U	chr1
UBE2V2	chr8
UBE3A	chr15
UBE4A	chr11
UBFD1	chr16
UBL3	chr13
UBOX5	chr20
UBP1	chr3
UBQLNL	chr11
UBR7	chr14
UBXN2B	chr8
UBXN4	chr2
UBXN7	chr3
UCHL1	chr4
UCKL1	chr20
UCP2	chr11
UEVLD	chr11
UFC1	chr1
UGCG	chr9
UGDH	chr4
UGT1A10	chr2
UGT1A9	chr2
UGT2A3	chr4
UGT2B10	chr4
UGT2B17	chr4
UHMK1	chr1
UHRF2	chr9
UIMC1	chr5
ULBP2	chr6
ULBP3	chr6
ULK3	chr15
ULK4	chr3
UNC13B	chr9
UNC13D	chr17
UNC5B	chr10
UNC5CL	chr6
UPB1	chr22
UPF3A	chr13
UPK1A	chr19
UPK3A	chr22
UPRT	chrX
UQCC1	chr20
URGCP-MRPS24	chr7
URM1	chr9
USE1	chr19
USF1	chr1
USF2	chr19
USH1G	chr17
USP11	chrX
USP17L10	chr4
USP18	chr22
USP2	chr11
USP22	chr17
USP30	chr12
USP39	chr2
USP50	chr15
USPL1	chr13
UTF1	chr10
UTP14A	chrX
UTP14C	chr13
UTP18	chr17
UTP23	chr8
UTP6	chr17
UTS2B	chr3
UTY	chrY
UVRAG	chr11
VAMP4	chr1
VAMP5	chr2
VAMP8	chr2
VANGL1	chr1
VARS	chr6
VASH1	chr14
VAV2	chr9
VBP1	chrX
VCP	chr9
VCPKMT	chr14
VCX3B	chrX
VDAC1	chr5
VDR	chr12
VEGFB	chr11
VEGFC	chr4
VENTX	chr10
VEZT	chr12
VGF	chr7
VGLL3	chr3
VGLL4	chr3
VIMP	chr15
VKORC1	chr16
VN1R2	chr19
VNN3	chr6
VPRBP	chr3
VPS28	chr8
VPS29	chr12
VPS37A	chr8
VPS4B	chr18
VPS54	chr2
VPS72	chr1
VRK3	chr19
VSIG10	chr12
VSIG4	chrX
VSIG8	chr1
VSTM2A	chr7
VSTM4	chr10
VSX1	chr20
VSX2	chr14
VWA1	chr1
VWA5B2	chr3
VWC2	chr7
WAS	chrX
WASF2	chr1
WBP1	chr2
WBP11	chr12
WBSCR16	chr7
WDFY1	chr2
WDFY2	chr13
WDR12	chr2
WDR35	chr2
WDR37	chr10
WDR43	chr2
WDR45	chrX
WDR45B	chr17
WDR48	chr3
WDR6	chr3
WDR65	chr1
WDR83	chr19
WDR86	chr7
WDR90	chr16
WFDC12	chr20
WFDC2	chr20
WFIKKN2	chr17
WHAMM	chr15
WI2-3308P17.2	chr1
WIF1	chr12
WIPF2	chr17
WIPF3	chr7
WISP1	chr8
WISP2	chr20
WNT10B	chr12
WNT3	chr17
WNT7A	chr3
WWC1	chr5
WWP2	chr16
XAB2	chr19
XCR1	chr3
XIAP	chrX
XKR4	chr8
XKR8	chr1
XKR9	chr8
XPO1	chr2
XRCC3	chr14
XYLT2	chr17
YAE1D1	chr7
YARS2	chr12
YBEY	chr21
YES1	chr18
YIPF5	chr5
YME1L1	chr10
YOD1	chr1
YPEL3	chr16
YRDC	chr1
YTHDF1	chr20
YWHAB	chr20
YWHAG	chr7
ZAP70	chr2
ZBED2	chr3
ZBP1	chr20
ZBTB14	chr18
ZBTB2	chr6
ZBTB34	chr9
ZBTB4	chr17
ZBTB46	chr20
ZBTB6	chr9
ZBTB7C	chr18
ZBTB8B	chr1
ZC2HC1C	chr14
ZC3H10	chr12
ZC3H12A	chr1
ZC3H15	chr2
ZC3H4	chr19
ZC3H8	chr2
ZC4H2	chrX
ZCCHC10	chr5
ZCCHC12	chrX
ZCCHC16	chrX
ZCCHC2	chr18
ZCCHC24	chr10
ZCCHC5	chrX
ZCRB1	chr12
ZDHHC16	chr10
ZDHHC17	chr12
ZDHHC3	chr3
ZDHHC7	chr16
ZDHHC9	chrX
ZFAND1	chr8
ZFP1	chr16
ZFP2	chr5
ZFP30	chr19
ZFP57	chr6
ZFP69B	chr1
ZFP91	chr11
ZFPM1	chr16
ZFX	chrX
ZFYVE16	chr5
ZFYVE20	chr3
ZFYVE28	chr4
ZG16B	chr16
ZGLP1	chr19
ZIC3	chrX
ZIM2	chr19
ZKSCAN2	chr16
ZKSCAN8	chr6
ZMAT2	chr5
ZMAT3	chr3
ZMAT4	chr8
ZMIZ2	chr7
ZMYM3	chrX
ZMYM4	chr1
ZMYM5	chr13
ZMYND10	chr3
ZMYND11	chr10
ZMYND12	chr1
ZMYND15	chr17
ZNF101	chr19
ZNF12	chr7
ZNF121	chr19
ZNF124	chr1
ZNF131	chr5
ZNF134	chr19
ZNF138	chr7
ZNF140	chr12
ZNF157	chrX
ZNF174	chr16
ZNF18	chr17
ZNF181	chr19
ZNF184	chr6
ZNF19	chr16
ZNF195	chr11
ZNF2	chr2
ZNF20	chr19
ZNF221	chr19
ZNF23	chr16
ZNF230	chr19
ZNF235	chr19
ZNF25	chr10
ZNF259	chr11
ZNF266	chr19
ZNF273	chr7
ZNF280A	chr22
ZNF280B	chr22
ZNF281	chr1
ZNF286A	chr17
ZNF286B	chr17
ZNF287	chr17
ZNF304	chr19
ZNF311	chr6
ZNF319	chr16
ZNF324	chr19
ZNF324B	chr19
ZNF326	chr1
ZNF333	chr19
ZNF34	chr8
ZNF345	chr19
ZNF354C	chr5
ZNF382	chr19
ZNF385A	chr12
ZNF395	chr8
ZNF397	chr18
ZNF41	chrX
ZNF420	chr19
ZNF428	chr19
ZNF432	chr19
ZNF433	chr19
ZNF446	chr19
ZNF451	chr6
ZNF454	chr5
ZNF468	chr19
ZNF471	chr19
ZNF474	chr5
ZNF483	chr9
ZNF497	chr19
ZNF503	chr10
ZNF510	chr9
ZNF513	chr2
ZNF517	chr8
ZNF524	chr19
ZNF526	chr19
ZNF534	chr19
ZNF546	chr19
ZNF550	chr19
ZNF555	chr19
ZNF556	chr19
ZNF557	chr19
ZNF561	chr19
ZNF564	chr19
ZNF566	chr19
ZNF574	chr19
ZNF580	chr19
ZNF595	chr4
ZNF622	chr5
ZNF627	chr19
ZNF630	chrX
ZNF641	chr12
ZNF648	chr1
ZNF654	chr3
ZNF66	chr19
ZNF662	chr3
ZNF674	chrX
ZNF675	chr19
ZNF689	chr16
ZNF691	chr1
ZNF7	chr8
ZNF701	chr19
ZNF705A	chr12
ZNF705D	chr8
ZNF738	chr19
ZNF74	chr22
ZNF747	chr16
ZNF76	chr6
ZNF765	chr19
ZNF771	chr16
ZNF778	chr16
ZNF781	chr19
ZNF816	chr19
ZNF821	chr16
ZNF829	chr19
ZNF83	chr19
ZNF844	chr19
ZNF846	chr19
ZNF879	chr5
ZNHIT6	chr1
ZNRF1	chr16
ZNRF4	chr19
ZP3	chr7
ZRSR2	chrX
ZSCAN16	chr6
ZSCAN20	chr1
ZSCAN23	chr6
ZWILCH	chr15
ZYG11A	chr1
ZYX	chr7
PTBP1	chr19
RXFP1	chr4
TSEN54	chr17
ABCG2	chr4
ACSL6	chr5
ANKRD33B	chr5
FBRS	chr16
GABRA4	chr4
OR52J3	chr11
PDHA2	chr4
PLEKHG1	chr6
PSME4	chr2
PTPN9	chr15
RP11-766F14.2	chr4
TAOK1	chr17
TXNDC2	chr18
VCX	chrX
ARMC4	chr10
DISP2	chr15
ENPP2	chr8
GPR156	chr3
GPR68	chr14
HIST1H1E	chr6
HMHA1	chr19
KCNS2	chr8
LILRB2	chr19
LOXL2	chr8
MYO1C	chr17
SPANXN2	chrX
TMC3	chr15
TNFRSF1A	chr12
ZSCAN5A	chr19
AC007405.2	chr2
AHNAK2	chr14
B3GALNT2	chr1
BAIAP2L2	chr22
BBS2	chr16
C12orf4	chr12
C1orf141	chr1
CAPN2	chr1
CDCP1	chr3
CEP85L	chr6
CLDN11	chr3
CNGA3	chr2
CYP7A1	chr8
DLL3	chr19
ENOSF1	chr18
ENTPD4	chr8
EXD2	chr14
FAM21C	chr10
GDF3	chr12
GLB1L	chr2
GPNMB	chr7
GPR155	chr2
GUSB	chr7
HAVCR2	chr5
HIST1H1A	chr6
KDM8	chr16
KRT222	chr17
LSR	chr19
MARCH7	chr2
MCAT	chr22
MCTP2	chr15
MDH2	chr7
MYLK4	chr6
NAGLU	chr17
OR10T2	chr1
OR2T12	chr1
OR4C15	chr11
OR51B2	chr11
OR56A4	chr11
OR7C1	chr19
PCDHGC5	chr5
PCDP1	chr2
PHF21B	chr22
PIWIL3	chr22
PLK4	chr4
PLOD2	chr3
POU2F2	chr19
PPM1E	chr17
PRLHR	chr10
RCBTB2	chr13
RGS9	chr17
SALL1	chr16
SELE	chr1
SIGLEC6	chr19
SLC23A3	chr2
SNAPC2	chr19
STK11	chr19
TMEFF2	chr2
TMEM232	chr5
TRHR	chr8
TTLL2	chr6
U2SURP	chr3
ZBTB11	chr3
ZFP36	chr19
ZFP42	chr4
ZNF384	chr12
AC104057.1	chr7
ACAD9	chr3
ACP2	chr11
ADCK1	chr14
ADRA2B	chr2
ADRM1	chr20
ANKRD23	chr2
ANKRD53	chr2
ARNT2	chr15
ASH2L	chr8
ATP13A2	chr1
ATP9B	chr18
BAIAP3	chr16
C19orf67	chr19
C2CD2	chr21
C9orf3	chr9
CCDC102A	chr16
CCDC41	chr12
CCDC8	chr19
CD1C	chr1
CDCA8	chr1
CDHR3	chr7
CDK19	chr6
CENPN	chr16
CHAMP1	chr13
CHD1L	chr1
CHRD	chr3
CLRN2	chr4
CPNE2	chr16
CSN2	chr4
CSNK1A1L	chr13
CSRNP3	chr2
CYP17A1	chr10
DAP3	chr1
DAZAP2	chr12
DDC8	chr17
DDI1	chr11
DDX50	chr10
DHRS7	chr14
DHX15	chr4
DNAJC16	chr1
DNMT3B	chr20
DSE	chr6
EBF4	chr20
EDEM2	chr20
EDNRA	chr4
EIF2AK1	chr7
ENTHD2	chr17
EQTN	chr9
EXOC3L4	chr14
FADS2	chr11
FBXO22	chr15
FZR1	chr19
GABRA3	chrX
GDF6	chr8
GIMAP5	chr7
GPR26	chr10
GTPBP3	chr19
HIPK1	chr1
HIPK4	chr19
HTR1B	chr6
IGF2BP3	chr7
IL4I1	chr19
INCENP	chr11
KCNK3	chr2
KIAA1755	chr20
KLHL11	chr17
KRT71	chr12
LDLR	chr19
LINC00955	chr4
MASP1	chr3
MDM4	chr1
MED15	chr22
MMRN2	chr10
MTG2	chr20
MUC13	chr3
NBN	chr8
NDN	chr15
NRBP1	chr2
OR13C3	chr9
OR14K1	chr1
OR52N1	chr11
OR5H14	chr3
PAX3	chr2
PCDHB16	chr5
PELP1	chr17
PITX2	chr4
PLA2G4A	chr1
PLEKHO2	chr15
PLTP	chr20
POU3F2	chr6
PPFIBP2	chr11
PPP1R13L	chr19
PRMT7	chr16
PTAFR	chr1
RASGRP4	chr19
RBM22	chr5
RHOV	chr15
RIOK3	chr18
RNF145	chr5
RP11-366L20.2	chr12
SALL4	chr20
SCGN	chr6
SLC16A1	chr1
SLC32A1	chr20
SLC35E2B	chr1
SLC39A8	chr4
SLC44A2	chr19
SLC7A9	chr19
SMCO3	chr12
SMO	chr7
SOWAHA	chr5
TCTE1	chr6
TEX10	chr9
TGFBR3L	chr19
THSD4	chr15
TMEM217	chr6
TMEM63A	chr1
TMOD1	chr9
TNPO3	chr7
TRIM77	chr11
TUBA1C	chr12
TUBB4B	chr9
USP19	chr3
VPS36	chr13
YBX2	chr17
ZC3HAV1	chr7
ZMYM6	chr1
ZNF260	chr19
ZNF362	chr1
ZNF383	chr19
ZNF775	chr7
ZNF860	chr3
ABHD10	chr3
ABHD5	chr3
ACPT	chr19
ACTL6B	chr7
ADH4	chr4
ADRA1D	chr20
AGPAT3	chr21
AIDA	chr1
AIFM3	chr22
AKAP8L	chr19
AKR7A3	chr1
ALDH1A1	chr9
AMER1	chrX
ANAPC2	chr9
ANGPTL2	chr9
ANKDD1B	chr5
ARFGAP1	chr20
ARFGAP2	chr11
ARHGAP1	chr11
ARMCX2	chrX
ARSJ	chr4
ASL	chr7
ATG14	chr14
ATXN7L1	chr7
AZU1	chr19
BCAR1	chr16
BIRC8	chr19
C12orf5	chr12
C12orf60	chr12
C15orf62	chr15
C20orf173	chr20
C2orf83	chr2
C8orf47	chr8
C9orf129	chr9
CAMKV	chr3
CARD18	chr11
CASQ2	chr1
CBLN4	chr20
CCAR2	chr8
CCDC62	chr12
CCDC77	chr12
CCDC91	chr12
CCNC	chr6
CD22	chr19
CDT1	chr16
CEACAM19	chr19
CELA2B	chr1
CENPP	chr9
CHKA	chr11
CLN8	chr8
COL8A1	chr3
CPM	chr12
CPVL	chr7
CREB3L3	chr19
CRYGC	chr2
CST1	chr20
CTBP1	chr4
CTBS	chr1
CXorf66	chrX
CXXC1	chr18
CYP1B1	chr2
CYP27A1	chr2
CYP2C8	chr10
CYP4A22	chr1
CYP51A1	chr7
CYTH1	chr17
DBN1	chr5
DBNL	chr7
DDX18	chr2
DDX51	chr12
DDX59	chr1
DNAJC28	chr21
DSN1	chr20
EGLN1	chr1
ELF3	chr1
EPS8L1	chr19
ERVV-2	chr19
EXOG	chr3
FADD	chr11
FAM13C	chr10
FAM204A	chr10
FAM83G	chr17
FASTKD1	chr2
FBLN1	chr22
FBXL19	chr16
FBXO39	chr17
FCN3	chr1
FGFR4	chr5
FKBP10	chr17
FNDC8	chr17
FOXA3	chr19
FYN	chr6
GADD45A	chr1
GAS2L1	chr22
GATM	chr15
GC	chr4
GINM1	chr6
GJB3	chr1
GNB1L	chr22
GOLGA8R	chr15
GPKOW	chrX
GPR132	chr14
GPR162	chr12
GRM4	chr6
GSAP	chr7
GSKIP	chr14
H3F3B	chr17
HELQ	chr4
HES7	chr17
HIST1H2BL	chr6
HMG20A	chr15
HMGCS1	chr5
HNRNPA1	chr12
HNRNPUL1	chr19
HS3ST1	chr4
HSPA13	chr21
HTR7	chr10
IFNA10	chr9
IGDCC3	chr15
IGLON5	chr19
INO80	chr15
INPP5J	chr22
IQCJ-SCHIP1	chr3
IRX3	chr16
ITIH3	chr3
JUN	chr1
KBTBD8	chr3
KCNA2	chr1
KCNG1	chr20
KCNJ11	chr11
KCTD19	chr16
KIF3A	chr5
KLC1	chr14
KRBA1	chr7
KRTAP11-1	chr21
KTI12	chr1
LACRT	chr12
LAX1	chr1
LHPP	chr10
LIN7A	chr12
LPPR3	chr19
LRP3	chr19
LRRC16A	chr6
LRRC18	chr10
LRRC63	chr13
LSAMP	chr3
LSM14B	chr20
LTA4H	chr12
LYZL4	chr3
LZTS1	chr8
MADCAM1	chr19
MAGED2	chrX
MAN1A1	chr6
MAN2C1	chr15
MBD3L3	chr19
MEIS1	chr2
MEP1A	chr6
METTL9	chr16
MFSD3	chr8
MGAT1	chr5
MICALCL	chr11
MMP17	chr12
MPHOSPH6	chr16
MRE11A	chr11
MRGPRF	chr11
MRGPRG	chr11
MTF1	chr1
MYO5B	chr18
NAF1	chr4
NCCRP1	chr19
NECAB3	chr20
NELFA	chr4
NFU1	chr2
NKX2-4	chr20
NLRP6	chr11
NPFFR1	chr10
NPTN	chr15
NR2C1	chr12
NUDT16	chr3
OIT3	chr10
OR1J4	chr9
OR2T27	chr1
OR4D11	chr11
OXGR1	chr13
OXNAD1	chr3
P2RX5-TAX1BP3	chr17
PA2G4	chr12
PAPSS2	chr10
PAQR8	chr6
PCGF5	chr10
PEX2	chr8
PGC	chr6
PHGDH	chr1
PHYHD1	chr9
PIPOX	chr17
PLEKHN1	chr1
POTEM	chr14
PPDPF	chr20
PPP1R15B	chr1
PPP1R3D	chr20
PPP5C	chr19
PRMT10	chr4
PRR19	chr19
PRRT3	chr3
PTCHD3	chr10
PTK6	chr20
PTPLAD1	chr15
RAB3IP	chr12
RARG	chr12
RASSF6	chr4
RBBP4	chr1
RBM34	chr1
RCN2	chr15
RNF8	chr6
RNFT1	chr17
RORB	chr9
RP11-248J23.6	chr10
RP11-362K2.2	chr12
RP11-45H22.3	chr5
RP3-422G23.4	chr6
RPL17-C18orf32	chr18
SAFB2	chr19
SAT2	chr17
SAV1	chr14
SCNN1D	chr1
SDHC	chr1
SELT	chr3
SEPT9	chr17
SERINC2	chr1
SGPL1	chr10
SGPP1	chr14
SH3BP1	chr22
SHC2	chr19
SIX2	chr2
SLAIN2	chr4
SLAMF6	chr1
SLC12A2	chr5
SLC14A1	chr18
SLC19A2	chr1
SLC22A4	chr5
SLC25A15	chr13
SLC35B3	chr6
SLC45A1	chr1
SLC5A11	chr16
SLC5A12	chr11
SMURF2	chr17
SOCS7	chr17
SOX17	chr8
SP9	chr2
SPANXC	chrX
SPATA7	chr14
SPRN	chr10
SPTLC1	chr9
SRC	chr20
STK32B	chr4
STX5	chr11
STYK1	chr12
SULT1C3	chr2
SULT6B1	chr2
SUN5	chr20
TAB1	chr22
TAB2	chr6
TACO1	chr17
TAS2R19	chr12
TATDN2	chr3
TAX1BP1	chr7
TBC1D10A	chr22
TCF3	chr19
TCP1	chr6
TEFM	chr17
TGFBI	chr5
THY1	chr11
TINAGL1	chr1
TLR1	chr4
TMED8	chr14
TMEM132A	chr11
TMEM174	chr5
TMEM184C	chr4
TMEM196	chr7
TMEM246	chr9
TPD52L3	chr9
TRIM35	chr8
TRIM41	chr5
TRIM45	chr1
TROVE2	chr1
TSHR	chr14
TSPAN17	chr5
TTLL8	chr22
TVP23A	chr16
UGT1A6	chr2
UGT3A2	chr5
UQCRB	chr8
USP51	chrX
VPS52	chr6
WDR13	chrX
WDSUB1	chr2
WLS	chr1
ZADH2	chr18
ZBTB37	chr1
ZBTB47	chr3
ZCCHC8	chr12
ZDHHC2	chr8
ZDHHC20	chr13
ZNF404	chr19
ZNF460	chr19
ZNF490	chr19
ZNF624	chr17
ZNF687	chr1
ZNF852	chr3
ZNF862	chr7
ZSCAN18	chr19
A4GALT	chr22
AADACL4	chr1
AARSD1	chr17
ABCD3	chr1
ABCG1	chr21
ABHD11	chr7
ABHD3	chr18
AC004381.6	chr16
ACAD10	chr12
ACOT6	chr14
ACR	chr22
ACSF2	chr17
ADD1	chr4
ADH1A	chr4
ADRA2A	chr10
ADRB2	chr5
ADTRP	chr6
AGAP4	chr10
AGAP7	chr10
AGBL2	chr11
AIMP2	chr7
AKIP1	chr11
AKR1B10	chr7
AL358813.2	chr1
AL590483.1	chr1
AL645608.2	chr1
ALDOC	chr17
ALKBH3	chr11
ANGPTL5	chr11
ANPEP	chr15
ANXA10	chr4
APOE	chr19
ARFGAP3	chr22
ARHGAP8	chr22
